reviewed,word
при-бѣ́*г.нꙋ,при-бѣ́*г.нꙋ
при́.з*ванъ,при́.з*ванъ
при-ко́с.нет-сѧ,при-ко́с.нет-сѧ
при-ко.снꙋ́-сѧ,при-ко.снꙋ́-сѧ
при-лѣп-лѧ́-ти-сѧ,при-лѣ.п*лѧ́-ти-сѧ
при-не*с.ла̀,при-не*с.ла̀
при́.с*нѡ,при́.с*нѡ
при́.с*ный,при́.с*ный
про́-мы-сломъ,про́-мы-сло.мъ
пѣ́.сней,пѣ́.сней
пѣ́.снен-нѡ,пѣ́.снен-нѡ
пѣ́.снен-ны-ми,пѣ́.снен-ны-ми
пѣ́.снехъ,пѣ́.снехъ
пѣ́.сни,пѣ́.сни
ра*з.да-ѧ́-ше,ра*з.да-ѧ́-ше
раз-сла́*б.лен-на-го,раз-сла́*б.лен-на-го
ра*с.ка́-ет-сѧ,ра*с.ка́-ет-сѧ
ра*с.ка́-ѧ-нї-е,ра*с.ка́-ѧ-нї-е
ра*с.та́-ѧ-ша-сѧ,ра*с.та́-ѧ-ша-сѧ
ра*с.тво-рѝ,ра*с.тво-рѝ
ра*с.тво-ри́хъ,ра*с.тво-ри́хъ
ра*с.тер-за̀,ра*с.тер-за̀
ра*с.тер-за́в-ша-ѧ,ра*с.тер-за́в-ша-ѧ
ра*с.тер-за́въ,ра*с.тер-за́въ
ра*с.тер-за́лъ,ра*с.тер-за́лъ
ра*с-тлѝ,ра*с-тлѝ
ра*с.тлѣ́-сѧ,ра*с.тлѣ́-сѧ
ра*с.то́рг-ни,ра*с.то́рг-ни
ра*с.то́рг-нꙋ-вый,ра*с.то́рг-нꙋ-вый
ра*с.то́р-же,ра*с.то́р-же
ра*с-то-ча́т-сѧ,ра*с-то-ча́т-сѧ
ра*с-то-чє́н-на-ѧ,ра*с-то-чє́н-на-ѧ
ра*с-то-чи́лъ,ра*с-то-чи́лъ
ре.вни́-тель,ре.вни́-тель
ре.вни́-те-лю,ре.вни́-те-лю
ре.вни́-те-лѧ,ре.вни́-те-лѧ
ре́.в*но-сти,ре́.в*но-сти
ре́.в*но-стї-ю,ре́.в*но-стї-ю
ре́.в*ность,ре́.в*ность
ре.внꙋ́й,ре.внꙋ́й
свѣ-то-ѻ*б.ра̑з-на-ѧ,свѣ-то-ѻ*б.ра̑з-на-ѧ
свѧ́*т.че,свѧ́*т.че
сла-во-сло.в*лє́-нї-и,сла-во-сло.в*лє́-нї-и
сла-во-сло́.в*лю,сла-во-сло́.в*лю
сла-дко-пѣ́.снен-нꙋ-ю,сла-дко-пѣ́.снен-нꙋ-ю
сла-до.стра́-стї-е,сла-до.стра́-стї-е
смы́-сломъ,смы́-сло.мъ
со-во-кꙋ́.пле-ни,со-во-кꙋ́.пле-ни
со-при*ч.тѝ,со-при*ч.тѝ
со-ста.в*ле́-нї-е,со-ста.в*ле́-нї-е
спа*с.ла̀,спа*с.ла̀
спа*с.ло̀,спа*с.ло̀
спо-до́*б.лю-сѧ,спо-до́*б.лю-сѧ
спо-доб.лѧ́-ет-сѧ,спо-доб.лѧ́-ет-сѧ
спо-доб.лѧ́-ѧ,спо-доб.лѧ́-ѧ
спо-доб.лѧ́-ѧй-сѧ,спо-доб.лѧ́-ѧй-сѧ
сра.с*пи-на́-емь,сра.с*пи-на́-емь
сра.с*пи-на́-ю-сѧ,сра.с*пи-на́-ю-сѧ
сре́-д*не-е,сре́-д*не-е
сре́д*ствъ,сре́д*ствъ
та́-ин*ствъ,та́-ин*ствъ
тє́-плы-ѧ,тє́-плы*ѧ
тор-же́*ствъ,тор-же́*ствъ
три-пѣ́с.нецъ,три-пѣ́с.нецъ
тѣ́.сный,тѣ́.сный
тѣ́.снымъ,тѣ́.снымъ
ѹ҆-бѣ́*г.нꙋ,ѹ҆-бѣ́*г.нꙋ
ѹ҆-мерт.ви́в-сѧ,ѹ҆-мерт.ви́в-сѧ
ѹ҆-мерт.ви́в-ше,ѹ҆-мерт.ви́в-ше
ѹ҆-мерт.ви́въ,ѹ҆-мерт.ви́въ
ѹ҆-мерт.ви́-вый,ѹ҆-мерт.ви́-вый
ѹ҆-мерт.ви́лъ,ѹ҆-мерт.ви́лъ
ѹ҆-мерт.ви́-сѧ,ѹ҆-мерт.ви́-сѧ
ѹ҆-мерт.ви́-ти,ѹ҆-мерт.ви́-ти
ѹ҆-мерт.ви́х-сѧ,ѹ҆-мерт.ви́х-сѧ
ѹ҆-праз*д.ни́-вый,ѹ҆-праз*д.ни́-вый
ѹ҆-праз*д.ни́лъ,ѹ҆-праз*д.ни́лъ
ѹ҆-праз*д.ни́-сѧ,ѹ҆-праз*д.ни́-сѧ
ѹ҆-праз*д.ни́тъ,ѹ҆-праз*д.ни́тъ
ѹ҆-праз*д.ни́-ша,ѹ҆-праз*д.ни́-ша
ѹ҆́.тварь,ѹ҆́.тварь
ха-ра-ла́*м-пїй,ха-ра-ла́*м-пїй
ца́р*ствъ,ца́р*ствъ
цер-ко.в*но-сло-ве́н-скїй,цер-ко.в*но-сло-ве́н-скїй
че*ст.во-ва́-ти,че*ст.во-ва́-ти
че*ст.вꙋ́-ю-щымъ,че*ст.вꙋ́-ю-щымъ
че*ст.вꙋ́-ю-щы-ѧ,че*ст.вꙋ́-ю-щы-ѧ
че-тве-ро-пѣ́.снецъ,че-тве-ро-пѣ́.снецъ
че́.т*верть,че́.т*верть
чꙋ́в*ствъ,чꙋ́в*ствъ
чꙋ́*д-не,чꙋ́*д-не
шє́.ствї-ѧ,шє́.ствї-ѧ
ще́.дре,ще́.дре
ꙗ҆́.снѡ,ꙗ҆́.снѡ
ꙗ҆́.снѣ,ꙗ҆́.снѣ
ѳе-о-до́-сїй,ѳе-о-до́*сїй
і҆-сі́-дѡ.ре,і҆-сі́-дѡ.ре
ко-ле́*б.ле-мꙋ-ю,ко-ле́*б.ле-мꙋ-ю
ко-ле́*б-лю-ща-го-сѧ,ко-ле́*б-лю-ща-го-сѧ
