reviewed,word
а҆.а.рѡ́-на,а҆.а.рѡ́-на
а҆.а.рѡ̑-ни,а҆.а.рѡ̑-ни
а҆.а.рѡ́-новъ,а҆.а.рѡ́-новъ
а҆.а.рѡ́-нꙋ,а҆.а.рѡ́-нꙋ
а҆.а.рѡ́нъ,а҆.а.рѡ́нъ
а҆.в*ді́й,а҆.в*ді́й
а҆.в*до́нъ,а҆.в*до́нъ
а҆-вес.са-лѡ́мъ,а҆-вес.са-лѡ́мъ
а҆.ві́въ,а҆.ві́въ
а҆.вї-ме-ле́хъ,а҆.вї-ме-ле́хъ
а҆.вꙋ-ді́мъ,а҆.вꙋ-ді́мъ
а҆.вѵ́пъ,а҆.вѵ́пъ
а҆-га-ѳо.дѡ́ръ,а҆-га-ѳо.дѡ́ръ
а҆-га-ѳо.клі́-а,а҆-га-ѳо.клі́-а
а҆-га-ѳо.ні́-ка,а҆-га-ѳо.ні́-ка
а҆-га-ѳо.ні́къ,а҆-га-ѳо.ні́къ
а҆-га-ѳо.по́дъ,а҆-га-ѳо.по́дъ
а҆.гге́й,а҆.гге́й
а҆.ггі́й,а҆.ггі́й
а҆*г.кѵ́-рꙋ,а҆*г.кѵ́-рꙋ
а҆-гла́.їй,а҆-гла́.їй
а҆́.гнецъ,а҆́.гнецъ
а҆́.гни-ца,а҆́.гни-ца
а҆́гн.ца,а҆́гн.ца
а҆́гн.цєвъ,а҆́гн.цєвъ
а҆́гн.цꙋ,а҆́гн.цꙋ
а҆́гн.цы,а҆́гн.цы
а҆́гн.че,а҆́гн.че
а҆.да-ма́н-та,а҆.да-ма́н-та
а҆́д.стї-и,а҆́д.стї-и
а҆.ї-ѳа́лъ,а҆.ї-ѳа́лъ
а҆-ке.ѱі́й,а҆-ке.ѱі́й
а҆-ке.ѱі́мъ,а҆-ке.ѱі́мъ
а҆-кта́.ꙋ,а҆-кта́.ꙋ
а҆-кꙋ.ті́.ѡнъ,а҆-кꙋ.ті́.ѡнъ
а҆-ле-ѯа́н.дра,а҆-ле-ѯа́н.дра
а҆-ле-ѯа́н.дре,а҆-ле-ѯа́н.дре
а҆-ле-ѯан.дрі́й-ска-гѡ,а҆-ле-ѯан.дрі́й-ска-гѡ
а҆-ле-ѯа́н.дро-ви-ча,а҆-ле-ѯа́н.дро-ви-ча
а҆-ле-ѯа́н.дро-ви-чꙋ,а҆-ле-ѯа́н.дро-ви-чꙋ
а҆-ле-ѯа́н.дро-ви-чѣ,а҆-ле-ѯа́н.дро-ви-чѣ
